"Dose","Response"
100,0.526594258800416
10,0.916066236440696
1,0.91482263616092
0.1,0.939083485398945
0.01,0.939055142323854
0.001,0.946038564835814
1e-04,0.930754368650228
1e-05,0.942871358313957
1e-05,0.927830653169525
1e-05,0.946939460474491
1e-05,0.942999002646029
100,0.532847122286802
10,0.90370937129028
1,0.92301334220642
0.1,0.919384749194699
0.01,0.941164936604244
0.001,0.925473795824886
1e-04,0.935272182459041
1e-05,0.922040236965168
1e-05,0.937147236520618
1e-05,0.931954967541131
1e-05,0.93535785724552
100,0.473463103215499
10,0.905566631445079
1,0.906732674246708
0.1,0.921587559529931
0.01,0.908529542786629
0.001,0.908533514029133
1e-04,0.938252192569242
1e-05,0.939225067838623
1e-05,0.908719966220034
1e-05,0.953795278795033
1e-05,0.941791431336863
100,0.535330191014688
10,0.885782273593505
1,0.914127197997432
0.1,0.957724349125062
0.01,0.960235641681093
0.001,0.953181351735498
1e-04,0.951709452423428
1e-05,0.960930684604204
1e-05,0.923741404412334
1e-05,0.928632523562819
1e-05,0.943866007617844
100,0.665036424107274
10,0.941131696992824
1,0.92726089041392
0.1,0.979171565287063
0.01,0.957199239834155
0.001,0.957890269443217
1e-04,0.952765681492468
1e-05,0.950750437278057
1e-05,0.948173026988625
1e-05,0.958319786366295
1e-05,0.948679120045633
100,0.713386978693093
10,0.919613431183798
1,0.929974286189571
0.1,0.948293416492637
0.01,0.952485060077048
0.001,0.959912005032784
1e-04,0.955855327797345
1e-05,0.943540166820412
1e-05,0.945654600195483
1e-05,0.940027887279005
1e-05,0.940277140680472
100,0.696890759225154
10,0.911279208881345
1,0.931039755624533
0.1,0.965311223569039
0.01,0.946138234354527
0.001,0.952646218694814
1e-04,0.944492838654212
1e-05,0.95181292317529
1e-05,0.954321288128625
1e-05,0.93223660102443
1e-05,0.939363604160074
100,0.660848552262756
10,0.906870301265921
1,0.920508510999657
0.1,0.937213799799993
0.01,0.949705582048559
0.001,0.927792138281329
1e-04,0.935764443942109
1e-05,0.937176183089932
1e-05,0.940517342157285
1e-05,0.927599317700794
1e-05,0.962659499732299
100,0.60950384028552
10,0.380231258378597
1,0.956820291527484
0.1,0.978059982210287
0.01,0.954877588624348
0.001,0.978021280155919
1e-04,0.970107258709483
1e-05,0.971085686067862
1e-05,0.965858943925091
1e-05,0.969136444947136
1e-05,0.994266515433697
100,0.61057705035696
10,0
1,0.959754262821401
0.1,0.979487706296265
0.01,0.964005829574608
0.001,0.967852434718804
1e-04,0.971965007399191
1e-05,0.95865143736336
1e-05,0.957458705220787
1e-05,0.988372451326328
1e-05,0.97175980481209
100,0.585824326191302
10,0.938551995929956
1,0.943418686583808
0.1,0.990066479547293
0.01,0.967912226109363
0.001,0.98896407289924
1e-04,1
1e-05,0.958874901669348
1e-05,0.968548920552117
1e-05,0.968573477003424
1e-05,0.99095130693654
100,0.602666518785058
10,0.919324844651696
1,0.966846578407881
0.1,0.985514580613755
0.01,0.978589090784304
0.001,0.959041002074446
1e-04,0.960520114337886
1e-05,0.978271629177137
1e-05,0.961024141314793
1e-05,0.935834968667314
1e-05,0.960654200621626
