"Dose","Response"
1e+05,516
10000,64611
1000,82513
100,73686
10,88262
1,93332
0,119640
0.01,117956
0.001,115000
1e-04,111130
1e+05,517
10000,65691
1000,69482
100,78166
10,81361
1,89859
0,113014
0.01,119230
0.001,111065
1e-04,128931
1e+05,458
10000,57277
1000,70544
100,81328
10,78440
1,86053
0,105469
0.01,133085
0.001,118564
1e-04,105001
1e+05,406
10000,63810
1000,76157
100,72343
10,82587
1,81605
0,69638
0.01,77580
0.001,114938
1e-04,111659
