"Dose","Response"
100,0
10,0.960560895401558
1,0.979256227356525
0.1,0.980770161621066
0.01,0.954999379364698
0.001,0.958409547903287
1e-04,0.9599580220731
1e-05,0.980385235471735
1e-05,0.965462161300203
1e-05,0.952794092606921
1e-05,0.95723934639499
100,0.528643792531652
10,0.976808313631664
1,0.957774619446559
0.1,1
0.01,0.994123077298743
0.001,0.982616884007394
1e-04,0.956615502588348
1e-05,0.970736309598518
1e-05,0.952594200101839
1e-05,0.954797288315253
1e-05,0.980017879776911
100,0.451784934986832
10,0.967081951537657
1,0.961057848632446
0.1,0.98826967630806
0.01,0.985849905248597
0.001,0.966686558544871
1e-04,0.976608135306507
1e-05,0.98869919411381
1e-05,0.983497064762514
1e-05,0.953245753163167
1e-05,0.974884414512292
100,0.548872883382131
10,0.991166836524799
1,0.988903166731373
0.1,0.97861530534922
0.01,0.958107532319325
0.001,0.985097484215626
1e-04,0.967800440805941
1e-05,0.964627693800676
1e-05,0.965469899070978
1e-05,0.949584935111374
1e-05,0.965343792022358
100,0.378207386700013
10,0.961028082077318
1,0.969990680069104
0.1,0.96706190241411
0.01,0.968602007363407
0.001,0.967043474527027
1e-04,0.965297282087732
1e-05,0.969142585079562
1e-05,0.967277306472062
1e-05,0.967230810276883
1e-05,0.964433684393155
100,0.522135017229125
10,0.974785435057716
1,0.984739129256774
0.1,0.975862276954807
0.01,0.988375185296469
0.001,0.980193237980356
1e-04,0.967345380732804
1e-05,0.974215313018706
1e-05,0.97400365204202
1e-05,0.977425460731606
1e-05,0.976743406020066
100,0.428613235280331
10,0.96916001436521
1,0.976363981706398
0.1,0.975506542924042
0.01,0.970638877556425
0.001,0.980191855056384
1e-04,0.9826249369363
1e-05,0.968480678336406
1e-05,0.977471236347103
1e-05,0.971988314758242
1e-05,0.974354132838889
100,0.311905452224401
10,0.963981247860845
1,0.976083700216822
0.1,0.972104514962535
0.01,0.973146416271662
0.001,0.959739459558612
1e-04,0.976233884959688
1e-05,0.980665737673388
1e-05,0.964295302350907
1e-05,0.975502147416302
1e-05,0.973464058891215
100,0.370984664053645
10,0.944294243773273
1,0.96835330067919
0.1,0.981658719865345
0.01,0.951807329840434
0.001,0.964518166244182
1e-04,0.964390570361544
1e-05,0.963437920063531
1e-05,0.957387234595842
1e-05,0.963138726351465
1e-05,0.950031368409347
100,0
10,0.962372388248373
1,0.977603649435007
0.1,0.974808097727222
0.01,0.972004123685569
0.001,0.976644743230662
1e-04,0.969567740468539
1e-05,0.977827023047753
1e-05,0.965532879184213
1e-05,0.971686846601495
1e-05,0.971792743516924
100,0.360230728162579
10,0.966714864878097
1,0.977508410031494
0.1,0.981111804973919
0.01,0.969257654741849
0.001,0.969535681272222
1e-04,0.980354877621345
1e-05,0.977346246085475
1e-05,0.969102959139646
1e-05,0.958249619646282
1e-05,0.972057647182554
100,0.394814401310882
10,0.92510174300351
1,0.9680631576067
0.1,0.97962750339868
0.01,0.977336696930838
0.001,0.988584961267883
1e-04,0.973653150002246
1e-05,0.977802339599393
1e-05,0.971612072831685
1e-05,0.966407867876928
1e-05,0.977400177710185
