"Dose","Response"
1e+05,21
10000,752
1000,3309
100,6311
10,29566
1,47946
0,64386
0.01,59937
0.001,49791
1e-04,56319
1e+05,9
10000,762
1000,3457
100,5682
10,33687
1,55822
0,57507
0.01,57496
0.001,61646
1e-04,56065
1e+05,17
10000,967
1000,3282
100,7283
10,30199
1,52983
0,57735
0.01,60681
0.001,63324
1e-04,55143
1e+05,30
10000,1116
1000,3870
100,6033
10,19455
1,43303
0,57448
0.01,58331
0.001,53592
1e-04,59442
