"Dose","Response"
1e+05,156
10000,7965
1000,14736
100,23939
10,75098
1,100393
0,106769
0.01,123152
0.001,115957
1e-04,100333
1e+05,172
10000,7813
1000,16023
100,31075
10,81992
1,101651
0,106276
0.01,107505
0.001,107103
1e-04,102470
1e+05,187
10000,8578
1000,14968
100,31618
10,79635
1,97239
0,109817
0.01,92969
0.001,103465
1e-04,90863
1e+05,183
10000,8362
1000,15438
100,24453
10,68013
1,109959
0,108030
0.01,109171
0.001,107725
1e-04,97032
