"Dose","Response"
1e+05,7
10000,7999
1000,25500
100,21875
10,24890
1,22310
0,35254
0.01,36923
0.001,49518
1e-04,57218
1e+05,32
10000,7643
1000,17153
100,23586
10,25113
1,22615
0,30036
0.01,38084
0.001,35217
1e-04,40688
1e+05,0
10000,8082
1000,17297
100,21969
10,27635
1,23658
0,29140
0.01,35018
0.001,33535
1e-04,38680
1e+05,13
10000,5947
1000,12989
100,16963
10,25594
1,24452
0,23114
0.01,27743
0.001,33990
1e-04,31962
