  Nelder-Mead direct search function minimizer
function value for initial parameters = 0.941879
  Scaled convergence tolerance is 1.40351e-08
Stepsize computed as 6551.200629
HI-REDUCTION     315 0.310469 0.302931
LO-REDUCTION     317 0.310127 0.302931
EXTENSION        319 0.307488 0.294440
HI-REDUCTION     321 0.306883 0.294440
EXTENSION        323 0.303802 0.287760
LO-REDUCTION     325 0.302931 0.287760
EXTENSION        327 0.302225 0.276235
LO-REDUCTION     329 0.294440 0.276235
EXTENSION        331 0.289930 0.263134
EXTENSION        333 0.287760 0.255099
EXTENSION        335 0.276365 0.252366
LO-REDUCTION     337 0.276235 0.252366
LO-REDUCTION     339 0.263134 0.251307
LO-REDUCTION     341 0.255099 0.251307
HI-REDUCTION     343 0.254913 0.251307
LO-REDUCTION     345 0.252366 0.251307
REFLECTION       347 0.252137 0.251087
REFLECTION       349 0.251861 0.251032
LO-REDUCTION     351 0.251313 0.250612
HI-REDUCTION     353 0.251307 0.250597
REFLECTION       355 0.251087 0.249957
LO-REDUCTION     357 0.251032 0.249957
HI-REDUCTION     359 0.250612 0.249957
LO-REDUCTION     361 0.250597 0.249957
HI-REDUCTION     363 0.250300 0.249957
EXTENSION        365 0.250148 0.249451
LO-REDUCTION     367 0.250049 0.249451
EXTENSION        369 0.249983 0.249041
REFLECTION       371 0.249957 0.249039
REFLECTION       373 0.249534 0.248758
LO-REDUCTION     375 0.249451 0.248758
EXTENSION        377 0.249041 0.247947
LO-REDUCTION     379 0.249039 0.247947
LO-REDUCTION     381 0.248882 0.247947
REFLECTION       383 0.248758 0.247645
LO-REDUCTION     385 0.248162 0.247645
EXTENSION        387 0.248094 0.247077
HI-REDUCTION     389 0.247947 0.247077
LO-REDUCTION     391 0.247662 0.247077
LO-REDUCTION     393 0.247662 0.247077
REFLECTION       395 0.247645 0.247066
LO-REDUCTION     397 0.247321 0.247052
REFLECTION       399 0.247177 0.246973
EXTENSION        401 0.247077 0.246831
HI-REDUCTION     403 0.247066 0.246831
EXTENSION        405 0.247052 0.246755
LO-REDUCTION     407 0.246973 0.246755
EXTENSION        409 0.246967 0.246583
LO-REDUCTION     411 0.246831 0.246583
LO-REDUCTION     413 0.246787 0.246583
LO-REDUCTION     415 0.246755 0.246583
EXTENSION        417 0.246655 0.246355
LO-REDUCTION     419 0.246631 0.246355
LO-REDUCTION     421 0.246627 0.246355
EXTENSION        423 0.246583 0.246136
LO-REDUCTION     425 0.246477 0.246136
EXTENSION        427 0.246415 0.245999
LO-REDUCTION     429 0.246355 0.245999
EXTENSION        431 0.246267 0.245663
LO-REDUCTION     433 0.246136 0.245663
LO-REDUCTION     435 0.246005 0.245663
REFLECTION       437 0.245999 0.245640
REFLECTION       439 0.245775 0.245473
HI-REDUCTION     441 0.245722 0.245473
EXTENSION        443 0.245663 0.245432
REFLECTION       445 0.245640 0.245389
LO-REDUCTION     447 0.245627 0.245389
REFLECTION       449 0.245473 0.245301
LO-REDUCTION     451 0.245432 0.245301
LO-REDUCTION     453 0.245404 0.245301
LO-REDUCTION     455 0.245389 0.245301
